Designator,Mid X,Mid Y,Rotation,Layer
C1,74.0,-49.0,0.0,top
C2,74.0,-51.0,0.0,top
C3,63.3,-46.0,180.0,top
C4,53.0,-49.0,270.0,top
CN1,72.0,-44.0,180.0,top
D10,87.0,-76.75,0.0,top
D20,99.0,-76.75,0.0,top
LED1,61.78,-43.0,0.0,top
LED2,56.14,-57.0,180.0,top
LED3,71.0,-57.0,180.0,top
LED4,86.0,-57.0,180.0,top
LED5,100.0,-57.0,180.0,top
LED6,96.24,-52.0,180.0,top
P10,66.0,-85.0,270.0,top
P11,87.0,-85.0,0.0,top
P21,99.0,-85.0,0.0,top
P30,98.0,-45.0,180.0,top
R1,58.25,-43.0,180.0,top
R10,56.19,-54.0,180.0,top
R11,60.0,-54.0,0.0,top
R12,58.0,-75.0,0.0,top
R13,82.0,-77.0,90.0,top
R2,60.0,-57.0,0.0,top
R20,71.1905,-54.0,180.0,top
R21,75.1905,-54.0,0.0,top
R22,73.0,-75.0,0.0,top
R23,93.95,-77.0,90.0,top
R3,75.0,-57.0,0.0,top
R30,81.0,-46.25,0.0,top
R4,90.0,-57.0,0.0,top
R5,104.0,-57.0,0.0,top
R6,100.0,-52.0,0.0,top
RN1,66.0,-50.0,90.0,top
RN2,87.765,-52.1,0.0,top
U1,57.0,-49.0,270.0,top
U10,58.0,-64.0,180.0,top
U11,88.0,-64.0,0.0,top
U20,73.0,-64.0,180.0,top
U21,102.0,-64.0,0.0,top
U30,88.0,-45.0,270.0,top
